"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","14.0465004216359","15.0113895216401","12.6160076494741","13.8175007803558","13.7476459510358","15.2489000086274","15.1153246326849","13.8791738762287","14.4721965258506","13.319891241255","13.2073425340961","12.9238548483046","12.0206671908345","11.0722751195211","13.2553089203123","14.7614432786977","13.4048225178923","14.6738791220223","14.6150475355802","15.3886346589808","15.9406499955398","16.764949238912","16.8522195231567","15.6492158488852","15.0215054266686","17.3193641618497","18.0927894393492","17.1001275398781","16.649771218167","16.991079330434","17.1001586368107","16.2209587814483","16.4470670463615","17.9018330112986","18.4811968921898","19.8258591151869","19.3046423891329","18.7970842320986","20.3534477785658","20.6219001610306","21.4429000098259","21.9452950391053","20.628775383571","21.0229207809009","19.694068444328","20.7700101317123","21.3927876786004","21.488633855661","22.3429749857695","22.407883870148","20.4048067526366","20.0927794265911","21.3749571809047","20.8790144082371","21.0855126608551","21.1304650046753","21.0837869456342","",
"Austria","AUT","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","23.2619333531499","21.90190727576","22.2017169658101","22.8578819152166","23.5861823273426","24.469021610696","25.2168611261517","24.6042864922738","24.704709754286","25.8772578713134","27.4454460033978","27.3220316739909","27.3422510994262","27.5142062183737","30.427653290674","28.4804349996444","31.1374470349386","32.2963514401436","30.5271022618274","32.4090612190112","35.1022761435754","35.3660076420395","32.3482862240825","31.9669769549016","33.7954343821781","35.1321566430173","31.9898539929405","31.4209700603725","33.4633506846283","35.4931675904068","35.7607402959","35.4279844098303","34.4457962858841","31.7743061235913","33.8000015447936","34.6941473737853","35.8003368889204","37.800343740502","38.5332448571432","38.856033669367","41.9633056075827","42.862149738252","41.5712389103025","41.7556856767585","43.864886836819","45.3402367009462","47.1603395433091","48.056072800295","48.6648081774795","41.6411769284431","47.7576359096203","51.154117778086","51.1785012313079","50.625120789651","50.1295251925899","49.2045197877218","48.9051786808671","",
"Azerbaijan","AZE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2223738062756","41.2050898203593","54.5963776685131","75.9883373015368","30.6300566834295","41.5100243696691","55.5476572106095","53.024367693808","54.5312618074649","41.8776423281096","38.378094995867","37.3179302430582","50.0489340925436","65.550511439166","72.7158845527121","52.8970149730485","38.7593857538289","28.5136989827401","23.4667590165732","23.1082959987641","20.6812669257035","24.0810644752506","25.2884334356276","26.6510260905435","26.2056461178703","34.806730415594","43.6725083452551","",
"Burundi","BDI","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","13.3928578261662","14.6551729913369","16.3934421622452","14.2857144084702","12.0805373091302","12.534289462699","12.9921803763367","11.8857765527851","13.3668122270742","12.0945742954996","11.6210197230579","14.1716801439181","15.0749696694666","13.3327311322885","15.5339377333162","19.0017705948535","16.6528767491649","17.2914189235808","20.2264008026176","22.7221415213696","23.2920650338144","22.037695696343","26.9074459918851","24.7477597409048","23.5523097883576","20.7869023928065","22.31563049832","25.7386317272753","25.9531832539286","22.9435654028731","27.7751472575537","28.5051827766189","29.4769508903169","27.1610357564277","28.4817585329216","27.278283560511","15.7534012542759","14.4399066511085","19.44027986007","15.9639877031181","16.234753894772","15.784843450019","16.988025225784","20.9948980541304","24.6233698947461","33.4443065210195","46.8697411620982","34.2238429554904","37.9261604479565","43.1235144794306","39.1790536206786","37.6654940837864","37.4688511221016","34.245352429069","33.5388197676141","29.7405833173584","31.9153583431745","",
"Belgium","BEL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","38.5006742171141","39.805297416531","40.584551925824","42.6700447308363","42.8293237005105","42.0067982078801","44.3696402393845","42.2675614468502","44.4056565132509","47.6910087327158","42.5882052929773","41.6378761319849","40.9015799340434","45.9150483449068","52.1538360395404","45.4127663673475","48.0550865023352","47.9643728536876","46.3519823900111","51.4297563328984","52.7118876749688","55.9177884650568","59.566332931019","59.7434718084117","63.545597271042","61.1601122440448","54.8086938933802","53.8202994202806","56.7711582939049","61.107861959133","59.5983185376022","58.1110259261217","56.0198770682048","52.6788580835718","54.5730712660193","56.023699553625","57.6173090601938","60.4699234894036","60.0872277491198","60.0985153095903","69.221483839487","67.6740971389271","64.8101122243425","63.3942183688236","65.6678633648332","69.8549958777555","71.9827613916644","73.6727852920912","79.2120619353629","67.0469816168365","74.6517191841698","81.1181191132935","81.6891402092541","80.4883419933435","81.9908505921484","79.4069563234343","81.5353987865218","",
"Benin","BEN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","12.1102860037387","9.53463213652839","9.95930446110375","11.6258988070834","12.2431651526909","14.9057105712226","16.1960629695616","19.7722662705327","19.0765867798385","21.4285057250714","24.4613236152013","27.8326141260428","26.800149392693","25.9501669628165","29.4946483665807","33.4129820337852","31.0285113990042","34.7807829045215","34.5453644374484","37.0217886787244","37.3221067200717","43.9588716369158","40.0862995442378","31.577722696885","30.9319281707312","36.6485996242477","32.6154967527009","30.9506070946336","32.0830888173539","24.8049383776371","26.5388791344867","30.3422307728013","33.5015977552095","32.917416096905","36.0734606362612","36.4311975077222","30.0189798910533","31.5354950169417","32.5006857471368","40.9818247690357","34.8513011152416","36.9267572657403","31.2963832785345","29.7383029341792","27.5517039269865","26.8845212723972","28.3238499014467","35.2184550856344","33.6432797971259","32.3287180711387","37.2052604136493","34.1966804078976","35.0760433435045","41.3081922277731","44.454630690697","39.7964802088219","39.6556608815107","",
"Burkina Faso","BFA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","15.839404612418","15.7899764009717","15.7059646946391","15.6690091988758","11.5184394568252","11.3766205814937","11.6484883364785","13.9273070528145","15.2873906772355","16.5323946242926","16.1417701889841","19.9310890976094","21.2889996660341","22.9195387310593","24.4729157208656","30.1511163590201","27.0082432329274","30.4432668926016","27.7508292684115","29.2824436783172","31.2625076586155","31.4351136452015","31.6240353150483","29.5741478477064","28.7577920382322","31.0260822887558","28.9711662892219","28.0811295265822","27.1309820899936","23.6458973519231","24.4559590282232","23.3486879839288","19.5275360085764","20.6735406720758","25.0276010932215","26.6069148783492","27.6166925636234","26.6038877818834","28.1316805532505","24.167958054611","24.9797804120741","23.1258274819798","21.6962215677674","22.022305325467","25.8001442021992","25.7917231350678","25.2593811761318","24.8748323702842","26.343241549352","27.7215067833491","29.640088938434","33.1503015025526","37.1605300374804","41.1018566568791","34.9350640437364","36.2874142473532","","",
"Bangladesh","BGD","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","9.30725837281466","11.6999989681888","10.8080969923682","11.6562779409751","14.1218553939094","13.3665973042485","12.6518221475519","12.5957179860198","11.606331446801","11.6653287574603","12.5074840612315","10.7275845200351","13.7325591531154","11.8552471769742","10.348545600697","8.10054723852476","17.6361931614715","12.3814462328921","15.4808518001798","15.7978440622703","17.8829473211837","14.1162959381045","15.5316243276076","14.7130315900677","13.4154720403534","12.8377060246289","11.8358105449764","11.6977479923371","12.2497633446486","12.7850303011279","13.0581855259296","12.2272149164418","12.3473285920799","14.1043140341485","13.864320908288","17.3448618625588","16.3695800738575","15.8051428327327","16.1227321741207","16.6292981713845","16.9775131339119","18.7114578649468","16.557411788963","16.2267362042167","15.7117252031078","20.0040929665367","21.7584608673034","22.9470478066831","24.9620555504832","23.1526633174097","21.7787299851405","27.4987748801959","27.9493338841896","26.7585286136071","25.5244202017989","24.7493241532437","21.3045838515747","",
"Bulgaria","BGR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","30.6886123066186","34.5226112588971","33.2164891600317","36.9396201860833","38.2461502514927","43.2022408138597","43.4699248775556","42.6223539813804","45.8960858101817","48.1583761167482","36.7278687657797","39.2041267501842","52.9382470119522","45.8347273335564","45.6725646879757","49.9061355885094","45.3899802220007","37.2840983857031","36.0629029683067","47.788999114794","41.8355332250447","44.3504682967314","41.7304308007783","44.7455069539838","52.2335994378813","57.275962251428","64.2103335433004","70.6481778798586","72.3014903258705","50.6090902489385","53.0284336521813","58.6929027955496","63.9745140714742","65.0623129352906","65.9555017148222","63.9594510742489","59.66520733582","",
"Bahrain","BHR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","115.240471461877","120.009203159751","106.77706448789","92.9507334092851","93.8440585631597","89.8405068822373","84.8131044698092","87.4000382154648","77.4944328712018","87.6299235905555","94.6051370724346","95.6386472316644","96.7420454545455","80.7292998516852","73.9849014051351","70.4737687766559","76.2018949658674","69.5052959617436","63.8854285837168","62.964453222111","56.6284184451879","53.4154400665755","58.3898628770108","56.0284684464097","62.1321301503599","64.4194629552946","62.4642492706133","58.1055213402395","63.305228249075","49.4981315443774","50.9350767827277","74.7412199630314","83.7417205368742","87.0708066370954","79.5138993992248","71.6506085452675","65.5333807739767","",
